Game ID	Game Duration	Winning Team	Summoner 0 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 1 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 2 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 3 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 4 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 5 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 6 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 7 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 8 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists	Summoner 9 Name	Team ID	Champion	Position	Result	Kills	Deaths	Assists
3543437971	2222	100	BOB YAAA	100	Nasus	TOP	WIN	7	2	5	DukeCapone	100	Caitlyn	ADC	WIN	4	5	9	CondemmedChicken	100	Azir	MID	WIN	8	9	6	Threepointstar	100	Swain	SUPPORT	WIN	8	6	12	Sceptalgic	100	Hecarim	JUNGLE	WIN	4	5	11	G2000mime	200	Lucian	ADC	LOSE	3	7	7	MQ2000	200	Leblanc	MID	LOSE	17	6	6	YummyRicez	200	Vi	JUNGLE	LOSE	6	8	7	Aeternalis1	200	Bard	SUPPORT	LOSE	1	5	9	Delmar	200	Yorick	TOP	LOSE	0	5	1
3546014034	2346	200	BOB YAAA	100	Lucian	MID	LOSE	4	7	4	Sceptalgic	100	Cassiopeia	MID	LOSE	9	6	7	CondemmedChicken	100	Garen	TOP	LOSE	6	4	2	Yeliang	100	Bard	JUNGLE	LOSE	0	8	12	YummyRicez	100	Vi	JUNGLE	LOSE	4	6	6	G2000mime	200	Azir	TOP	WIN	7	7	8	Kliyle	200	Jhin	ADC	WIN	14	2	12	MQ2000	200	Ekko	JUNGLE	WIN	3	5	13	Delmar	200	Volibear	TOP	WIN	2	3	11	Demonclaw	200	Lux	SUPPORT	WIN	5	6	25
3538626619	1987	100	BOB YAAA	100	Trundle	TOP	WIN	3	6	7	Yeliang	100	Lillia	MID	WIN	10	7	7	Demonclaw	100	Alistar	SUPPORT	WIN	3	6	12	Sceptalgic	100	Elise	JUNGLE	WIN	11	4	7	Delmar	100	Caitlyn	ADC	WIN	11	5	9	Threepointstar	200	Veigar	MID	LOSE	10	9	9	Kliyle	200	Ekko	SUPPORT	LOSE	8	9	10	CondemmedChicken	200	Urgot	ADC	LOSE	5	8	10	G2000mime	200	Ashe	ADC	LOSE	4	5	10	MQ2000	200	Karma	SUPPORT	LOSE	1	7	14
3540752515	1467	100	Threepointstar	100	Ryze	MID	WIN	2	1	10	YummyRicez	100	Kayn	JUNGLE	WIN	7	3	10	Kliyle	100	Jhin	ADC	WIN	8	3	9	Aeternalis1	100	Xerath	SUPPORT	WIN	3	0	16	CondemmedChicken	100	Urgot	JUNGLE	WIN	3	5	2	Delmar	200	Caitlyn	ADC	LOSE	4	3	3	MQ2000	200	Thresh	SUPPORT	LOSE	2	6	5	G2000mime	200	LeeSin	JUNGLE	LOSE	2	6	5	DukeCapone	200	Kassadin	MID	LOSE	2	4	1	Sceptalgic	200	Aatrox	TOP	LOSE	2	4	3
3540752768	2712	200	BOB YAAA	100	Jax	TOP	LOSE	4	8	2	Aeternalis1	100	Blitzcrank	SUPPORT	LOSE	1	6	14	Threepointstar	100	Thresh	ADC	LOSE	4	7	11	YummyRicez	100	Shyvana	JUNGLE	LOSE	9	7	5	MQ2000	100	Ziggs	MID	LOSE	4	8	4	Sceptalgic	200	Hecarim	TOP	WIN	15	3	9	G2000mime	200	Ashe	ADC	WIN	4	6	12	DukeCapone	200	Karma	SUPPORT	WIN	0	7	19	CondemmedChicken	200	Azir	MID	WIN	10	4	7	Delmar	200	Sett	JUNGLE	WIN	7	2	19
3533868711	1499	100	Demonclaw	100	Xayah	SUPPORT	WIN	5	3	7	MQ2000	100	Blitzcrank	MID	WIN	1	5	10	Yeliang	100	Udyr	JUNGLE	WIN	9	3	3	BOB YAAA	100	Nasus	SUPPORT	WIN	4	5	2	Threepointstar	100	Ryze	TOP	WIN	3	0	4	CondemmedChicken	200	Urgot	TOP	LOSE	3	9	2	Delmar	200	Lucian	ADC	LOSE	7	2	4	Sceptalgic	200	Hecarim	JUNGLE	LOSE	5	4	4	Aeternalis1	200	Lux	SUPPORT	LOSE	0	4	8	G2000mime	200	Leblanc	MID	LOSE	1	3	5
3538182458	2128	200	MQ2000	100	Leona	SUPPORT	LOSE	3	4	10	Demonclaw	100	Caitlyn	ADC	LOSE	6	6	5	G2000mime	100	Leblanc	MID	LOSE	3	4	6	CondemmedChicken	100	Urgot	TOP	LOSE	4	6	1	Threepointstar	100	MasterYi	JUNGLE	LOSE	4	4	6	BOB YAAA	200	Nasus	TOP	WIN	11	4	8	Delmar	200	Annie	MID	WIN	5	3	13	YummyRicez	200	Amumu	JUNGLE	WIN	6	2	13	DukeCapone	200	Ashe	ADC	WIN	1	6	15	Kliyle	200	Nautilus	SUPPORT	WIN	1	5	12
3529013094	1747	100	Kliyle	100	Ekko	JUNGLE	WIN	8	2	11	YummyRicez	100	Annie	MID	WIN	1	3	13	MQ2000	100	Leona	SUPPORT	WIN	2	5	10	Sceptalgic	100	Darius	TOP	WIN	9	2	5	DukeCapone	100	Xayah	ADC	WIN	4	5	9	G2000mime	200	Ashe	ADC	LOSE	6	4	5	CondemmedChicken	200	Urgot	TOP	LOSE	2	9	2	Delmar	200	Malphite	JUNGLE	LOSE	1	4	4	Aeternalis1	200	Nautilus	SUPPORT	LOSE	4	2	10	Threepointstar	200	Kassadin	MID	LOSE	4	5	3
3531374075	2073	200	CondemmedChicken	100	Teemo	TOP	LOSE	3	6	6	G2000mime	100	Yone	TOP	LOSE	1	9	5	Sceptalgic	100	Hecarim	JUNGLE	LOSE	7	4	7	Kliyle	100	Vayne	ADC	LOSE	8	5	3	Threepointstar	100	Lulu	SUPPORT	LOSE	1	7	12	Demonclaw	200	Malphite	TOP	WIN	6	5	10	Aeternalis1	200	Zac	JUNGLE	WIN	7	3	12	I Am Oldman	200	Yasuo	ADC	WIN	8	5	7	MQ2000	200	Karma	SUPPORT	WIN	0	2	20	Delmar	200	Talon	MID	WIN	10	5	10
3531374419	1951	100	G2000mime	100	LeeSin	JUNGLE	WIN	9	3	8	Threepointstar	100	Braum	SUPPORT	WIN	2	2	21	BOB YAAA	100	Malphite	ADC	WIN	5	4	15	Delmar	100	Lucian	TOP	WIN	13	5	7	Aeternalis1	100	Lux	MID	WIN	9	3	19	I Am Oldman	200	Sett	TOP	LOSE	2	7	6	CondemmedChicken	200	Pyke	SUPPORT	LOSE	7	9	3	MQ2000	200	Warwick	JUNGLE	LOSE	4	5	5	Demonclaw	200	Veigar	MID	LOSE	4	8	3	Yeliang	200	Vayne	ADC	LOSE	0	9	5
